"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1991-01-01","1991-12-31",1991,6291,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1992-01-01","1992-12-31",1992,2683,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1993-01-01","1993-12-31",1993,11125,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1994-01-01","1994-12-31",1994,7494,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1995-01-01","1995-12-31",1995,7847,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1996-01-01","1996-12-31",1996,16517,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1997-01-01","1997-12-31",1997,1177,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1998-01-01","1998-12-31",1998,707,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1999-01-01","1999-12-31",1999,944,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2000-01-01","2000-12-31",2000,650,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2001-01-01","2001-12-31",2001,3306,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2002-01-01","2002-12-31",2002,1926,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2003-01-01","2003-12-31",2003,12754,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2004-01-01","2004-12-31",2004,4153,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2005-01-01","2005-12-31",2005,11985,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2006-01-01","2006-12-31",2006,12317,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2007-01-01","2007-12-31",2007,5530,"Total","Admin0","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2008-01-01","2008-12-31",2008,12540,"Total","Admin0","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2009-01-01","2009-12-31",2009,15535,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2010-01-01","2010-12-31",2010,1252,"Total","Admin0","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2011-01-01","2011-12-31",2011,18860,"Suspected and confirmed","Admin0","Year","LITERATURE-IND-19972012-Y01-01"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2012-01-01","2012-12-31",2012,37070,"Suspected and confirmed","Admin0","Year","LITERATURE-IND-19972012-Y01-01"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2015-01-01","2015-12-31",2015,99913,"Total","Admin0","Year","MOH-IND-20152022-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2016-01-01","2016-12-31",2016,129166,"Total","Admin0","Year","MOH-IND-20152022-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2017-01-01","2017-12-31",2017,188401,"Total","Admin0","Year","MOH-IND-20152022-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2018-01-01","2018-12-31",2018,101192,"Total","Admin0","Year","MOH-IND-20152022-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2019-01-01","2019-12-31",2019,157315,"Total","Admin0","Year","MOH-IND-20152022-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2020-01-01","2020-12-31",2020,44585,"Total","Admin0","Year","MOH-IND-20152022-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2021-01-01","2021-12-31",2021,193245,"Total","Admin0","Year","MOH-IND-20152022-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"2022-01-01","2022-12-31",2022,233251,"Total","Admin0","Year","MOH-IND-2022-Y01-01"
